FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
1,111030d7-ac15-4548-a574-26e2805d73e5,122068,7/6/2017 12:00:00 AM,racheal.olarewaju, ,Gwanfi Kele,51911,Wasagu-Danko,519,Kebbi,KB, ,Kasuwan Dank, , , ,OSGOF,Kasuwan Dank, , , , , , , ,0,BUA,5.18451000023634,11.6007000002049
2,3bd51732-6671-4bf8-9d20-540d8647ca28,122069,7/31/2017 12:00:00 AM,racheal.olarewaju, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB, ,Ogamgbo, , , ,OSGOF,Ogamgbo Market, , , , , , , ,0,SSA,7.85473999975125,6.11916000003401
3,606a2edc-db03-401b-a058-1199ac20ccd1,122070,6/21/2018 12:00:00 AM,oluwadare.sewedo, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,Other,Kara, , ,Mixed,GRID,Akarigbo Modern Market Ariye Kara,Yes,Yes,Yes,Yes,Yes,Yes,No,0, ,3.62528877415764,6.82232208419686
4,bb044b1f-06da-4585-8607-e905dceedaa3,122071,6/21/2018 12:00:00 AM,oluwadare.sewedo, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,Other,Kara sabo, , ,Other,GRID,Kara Ram Market,Yes,Yes,Yes,Yes,Yes,Yes,No,0, ,3.62622644419508,6.82401585834526
5,48dcf4cb-fca0-4ed5-826d-a8481ee566e7,122072,6/25/2018 12:00:00 AM,alabi.ayodele, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,Other,Itawure,Other, ,Other,GRID,Itawure Community Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,4.95235833277087,7.72713999971126
6,e92855df-4e17-4424-b519-4765342a8060,122073,6/25/2018 12:00:00 AM,alabi.ayodele, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,Bi-Weekly,Ita Ido,Food Stuff, ,Food Stuff,GRID,Erelu Bisi Fayemi Market Ita Ido,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,4.95981999969325,7.73153166715275
7,34e47173-99c1-40a5-9c74-a82d8c767458,122074,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Eke Obeaja, , , ,OSGOF,Ahia Eke Obeaja Market, , , , , , , ,0,HA,7.34896000040374,5.00418999986863
8,706f797b-8977-452c-b2ed-681f6508904e,122075,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Orie Obegu, , , ,OSGOF,Ahia Orie Obegu Market, , , , , , , ,0,BUA,7.32657999986714,4.98532999977971
9,03035a76-7b07-429a-98da-9a8fed3e3d55,122076,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Nkwo Ihie, , , ,OSGOF,Ahia Nkwo Ihie Market, , , , , , , ,0,SSA,7.30943999995606,5.00769999985516
10,9c9d7657-72d7-4f7a-bf4a-3ced7d2dcdda,122077,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ngwaiyiekwe / Ward Ten,ABSGWB07,Ugwunagbo,1012,Abia,AB, ,Ahia Afor Mbaso, , , ,OSGOF,Ahia Afor Mbaso Market, , , , , , , ,0,SSA,7.31672000022786,5.01884999962783
11,76854d27-19df-42cc-8e6b-c8a73024a63a,122078,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Umuarukwu / Ward Six,ABSGWB13,Ugwunagbo,1012,Abia,AB, ,Ahia Nkwo Umugwu, , , ,OSGOF,Ahia Nkwo Umugwu Market, , , , , , , ,0,SSA,7.33704000019588,5.02323999972623
12,fba46e9e-b258-4b35-9a90-e687905c3261,122079,8/29/2018 12:00:00 AM,abiodun.adedire, ,Umuarukwu / Ward Six,ABSGWB13,Ugwunagbo,1012,Abia,AB,Weekly,Amaufuru, , ,Mixed,GRID,Ahia Eke,Yes,Yes,Yes,Yes,Yes,Yes,No,6, ,7.31691833311464,5.02989666729741
13,cb75eb1e-2d02-4634-b72d-c0c011ba27fa,122080,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ajara,OGSSAU03,Shagamu,28020,Ogun,OG, ,Falawo, , , ,eHA_Polio,Falawo Market, , , , , , , ,0,BUA,3.64911000032629,6.84942000013297
14,6911a08d-3d15-45de-9dfb-7bc72a1d0526,122081,8/29/2018 12:00:00 AM,oluwadare.sewedo, ,Iperu 1,OGSIKE05,Ikenne,28012,Ogun,OG,Weekly,Iperu Remo, , ,Clothing Livestock Electronic Spare Parts Food Stuff,GRID,Akesan Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0, ,3.66552166719123,6.9073616666077
15,40082bda-e7de-4dcc-821a-8738062fbbe1,122082,8/29/2018 12:00:00 AM,oluwadare.sewedo, ,Iperu 2,OGSIKE06,Ikenne,28012,Ogun,OG,Other,Proposed mile 12 market, , ,Clothing Livestock Electronic Spare Parts Food Stuff Mixed,GRID,Proposed Mile 12 Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0, ,3.63232543497088,6.91980077978224
16,14939c37-dc73-4c65-8325-8106ea3eb91a,122083,7/21/2017 12:00:00 AM,racheal.olarewaju, ,Igwododo / Aibiokula 2,EDSABD11,Orhionmwon,12013,Edo,ED, ,Evbuobanosa, , , ,OSGOF,Evbuobanosa Market, , , , , , , ,0,BUA,5.97846999979072,6.28803000028432
17,0a6f2b6f-539b-4737-9cd7-737266c0ad96,122084,2/27/2019 12:00:00 AM,racheal.olarewaju, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB,Weekly,Ogamgbo Market,Mixed, ,Mixed,GRID,Ndiagu Ufueze ogamgbo Market,Yes,No,No,No,No,No,Yes,2, ,7.85471666684077,6.1190633328066
18,90ac726a-7d11-4f1a-8c2d-d986278121ff,122085,3/1/2018 12:00:00 AM,racheal.olarewaju, ,Oguduokwo Oshiri,EBSNCA16,Onicha,11013,Ebonyi,EB,Weekly,Ufuezeokwu,Electronic Spare Parts, ,Mixed,GRID,Scrab Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,7.88999000023836,6.13411166701985
19,3a17e35c-1344-4967-8042-72b9259c1eb0,122086,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Assah Ubiri Elem,IMSAWD03,Orsu,17021,Imo,IM, ,Orie Umuoka Ubirielem, , , ,OSGOF,Orie Umuoka Ubirielem Market, , , , , , , ,0, ,6.99368999999353,5.85441000022138
20,d3c15254-7881-45de-b121-dc526008cfb9,122087,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Tomataan, , , ,OSGOF,Tomataan Market, , , , , , , ,0,HA,9.42664000023586,7.04688999997359
21,95837458-1665-4727-8e9d-2c34a1f57145,122088,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Akinde 2, , , ,OSGOF,Akinde II Market, , , , , , , ,0,HA,9.45591999970827,7.05056999970577
22,3ae7983c-805b-4c28-a349-143a9e846239,122089,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Jumbev II, , , ,OSGOF,Jumbev II Market, , , , , , , ,0,HA,9.46516999999557,7.03865000039724
23,0982a099-90ce-4f62-ae01-d9f5f1c14183,122090,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Annune, , , ,OSGOF,Annune Market, , , , , , , ,0,HA,9.48698000032681,7.01692000015794
24,319b6384-2b24-4e7d-9373-dd39834f7924,122091,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Ushia Ii, , , ,OSGOF,Ushia Ii Market, , , , , , , ,0,HA,9.50521000014146,7.00766999987064
25,f8a9172f-1588-455a-a591-bfaa027b4403,122092,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Amejo,BNSPKG01,Okpokwu,7018,Benue,BE, ,Ateikpo okpafie, , , ,OSGOF,Ateikpo okpafie Market, , , , , , , ,0,HA,7.77942999999453,7.12810000021489
26,1c0f2f7f-0b73-45dd-8075-71b1647c75b2,122093,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Ochobo,BNSDKP06,Ohimini,7016,Benue,BE, ,Olengbecho, , , ,OSGOF,Olengbecho Market, , , , , , , ,0,BUA,7.93484999962783,7.14782000039276
27,e40033d1-2e03-4b53-8546-a6a0d6130317,122094,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbagbera,BNSVDY04,Vandeikya,7023,Benue,BE, ,Mbagile II Mbanonku, , , ,OSGOF,Mbagile II Mbanonku Market, , , , , , , ,0,HA,9.1213299996798,6.83302999973478
28,c7460cec-0956-4818-a4a2-46844f3fb2a3,122095,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE, ,Mbahwembe, , , ,OSGOF,Mbahwembe Market, , , , , , , ,0,HA,9.12680000011994,7.00391999960834
29,c8d20c04-d639-4516-bbd9-3671dd446145,122096,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Iresi 2,OSSBOLUW06,Boluwaduro,30005,Osun,OS, ,Obada Iresi, , , ,eHA_Polio,Obada Market Iresi, , , , , , , ,0,BUA,4.84321999970325,7.93705999991909
30,024a2db2-d463-4e32-8bef-e04c4963ffff,122097,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Awo,OSSEDE04,Egbedore,30009,Osun,OS, ,Ara, , , ,eHA_Polio,Ara Market, , , , , , , ,0,BUA,4.3822399996763,7.85393000016944
31,4ed3cb1a-ff4e-4249-9aa3-ba8f78e681f4,122098,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Aro / Ojo,OSSEDE03,Egbedore,30009,Osun,OS, ,Elerin, , , ,eHA_Polio,Elerin Market, , , , , , , ,0,BUA,4.48327999977221,7.82755999999404
32,b96767d8-1f0e-4ed3-9ed7-16e430cb3985,122099,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Olukotun Inisha,OSSODN13,Odo Otin,30025,Osun,OS, ,Orisunbare Inisa, , , ,eHA_Polio,Orisunbare Market Inisa, , , , , , , ,0,BUA,4.64703999999603,7.98385000017743
33,35bd5729-c57f-46b7-87b4-2bbf956c0231,122100,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE, ,Ngenev II, , , ,OSGOF,Ngenev II Market, , , , , , , ,0,SSA,9.51777000018541,7.01146999974077
34,35852b49-9334-4e83-8108-a5fbf07e25da,122101,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Ara 2,OSSEDE02,Egbedore,30009,Osun,OS, ,Owode Ojo, , , ,eHA_Polio,Owode Market Ojo, , , , , , , ,0,SSA,4.42512000038778,7.81432000006799
35,137a3cfb-b01a-49b2-973c-8673011af00e,122102,2/6/2013 12:00:00 AM,racheal.olarewaju, ,Numan 1,ADSNUM06,Numan,2016,Adamawa,AD, ,Roundabout Dong Close, , , ,eHA_Polio,Roundabout Market Dong Close, , , , , , , ,0,HA,12.0361999997302,9.45727300004899
36,caef0086-89de-4958-a266-2373cd3ea78b,122103,6/30/2017 12:00:00 AM,racheal.olarewaju, ,Girei 1,ADSGRE04,Girei,2004,Adamawa,AD, ,Kasuwar Giret, , , ,OSGOF,Kasuwar Giret, , , , , , , ,0,BUA,12.5470200003728,9.35889999973523
37,fa691f18-6bfb-418e-83be-5b7c9c9fd5e2,122104,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbalagh,BNSMKD07,Makurdi,7013,Benue,BE, ,Mbakyongu, , , ,OSGOF,Mbakyongu Market, , , , , , , ,0,HA,8.40169999965531,7.75551000038627
38,b8af1ace-d45c-4b4d-83b4-329fca6f4602,122105,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbalagh,BNSMKD07,Makurdi,7013,Benue,BE, ,Mbanokabee, , , ,OSGOF,Mbanokabee Market, , , , , , , ,0,HA,8.41252000039776,7.7154100001714
39,b9ea99f2-fcbd-4dfd-ad06-863b3f1c09c1,122106,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbalagh,BNSMKD07,Makurdi,7013,Benue,BE, ,Usambe, , , ,OSGOF,Usambe Market, , , , , , , ,0,HA,8.42730999985667,7.68704999995759
40,7c5f8dee-0843-4dca-930b-0eb4ae0151ca,122107,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Ochobo,BNSDKP06,Ohimini,7016,Benue,BE, ,Agboke, , , ,OSGOF,Agboke Market, , , , , , , ,0,HA,8.04680000011996,7.18173000023938
41,534542be-cb2c-4fe2-adcd-bfef93b9be2b,122108,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbaaka,BNSSEL05,Ushongo,7022,Benue,BE, ,Mbaangpugh, , , ,OSGOF,Mbaangpugh Market, , , , , , , ,0,HA,8.87207999969229,7.05236999997555
42,a4085066-583e-4c5d-869f-70eb96358f16,122109,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbaanyam / Ikov,BNSSEL02,Ushongo,7022,Benue,BE, ,Tse Shirgba, , , ,OSGOF,Tse Shirgba Market, , , , , , , ,0,HA,8.98836999977573,7.15117000019541
43,fdd63a4f-f8ed-4ce3-8d80-07e7f45859c1,122110,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbaanyam / Ikov,BNSSEL02,Ushongo,7022,Benue,BE, ,Mbawancha II, , , ,OSGOF,Mbawancha II Market, , , , , , , ,0,HA,8.98939999961033,7.16414999982265
44,6055de6e-e1da-49ab-8506-515c57c54fe5,122111,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbaawe,BNSSEL06,Ushongo,7022,Benue,BE, ,Mbagberi, , , ,OSGOF,Mbagberi Market, , , , , , , ,0,HA,8.99193000026935,7.2553199998182
45,e648e274-11a7-4e17-b5dd-413cc922a976,122112,7/13/2017 12:00:00 AM,racheal.olarewaju, ,Mbaanyam / Ikov,BNSSEL02,Ushongo,7022,Benue,BE, ,Mbazungu Mbatoo, , , ,OSGOF,Mbazungu Mbatoo Market, , , , , , , ,0,HA,9.00236000011398,7.14942999999454
46,e4085a59-c622-4bc7-8474-5b0af73cce3f,122113,6/20/2018 12:00:00 AM,oluwadare.sewedo, ,Ward 7,CRSANA07,Calabar South,9009,Cross River,CR,Bi-Weekly,Uwanse, , ,Mixed,GRID,Uwanse Market,Yes,No,Yes,Yes,Yes,Yes,Yes,0, ,8.33804499957711,4.94099829993166
47,d1b3ff5d-d4b4-4f08-bb61-d80c8662ad8f,122114,6/20/2018 12:00:00 AM,oluwadare.sewedo, ,Ward 8,CRSANA08,Calabar South,9009,Cross River,CR,Weekly,Crutech, , ,Clothing Livestock Electronic Spare Parts Food Stuff Mixed,GRID,Crutech Market,Yes,No,Yes,Yes,Yes,Yes,Yes,0, ,8.32889829991666,4.92991669989584
48,452c38ae-d264-4f2d-af1c-44e29b689d4e,122115,6/20/2018 12:00:00 AM,oluwadare.sewedo, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,Bi-Weekly,Ikot Nakanda, , ,Food Stuff,GRID,Ikot Nakanda Market,Yes,Yes,Yes,No,Yes,No,No,0, ,8.47501669976094,4.88618669955656
49,0338880a-febc-4cd5-8317-546fa3c9f71a,122116,6/20/2018 12:00:00 AM,oluwadare.sewedo, ,Ward 10,CRSANA10,Calabar South,9009,Cross River,CR,Weekly,Ibesikpo, , ,Clothing Livestock Electronic Spare Parts Food Stuff Mixed,GRID,Ibesikpo Market,No,Yes,Yes,Yes,Yes,Yes,No,0, ,8.3111367002985,4.92990830022791
50,e9c7ff7e-ad55-4a7c-8d67-315dd19e500f,122117,7/16/2018 12:00:00 AM,najib.adam, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,Weekly,Iree, , ,Mixed,GRID,Obada Market Iree,Yes,No,No,No,Frida,No,No,1, ,4.72483399019654,7.93613662820286
51,96a4f6ee-cc8f-4d32-994a-16b6115b4665,122118,7/16/2018 12:00:00 AM,najib.adam, ,Awo,OSSEDE04,Egbedore,30009,Osun,OS, ,Owode, , ,Mixed,GRID,Owode Market,No,No,No,Yes,No,No,No,1, ,4.42498659495544,7.81392567073317
52,94a0cac5-1ae5-4cc8-93d6-229702d71b07,122119,7/16/2018 12:00:00 AM,najib.adam, ,Baale Okuku,OSSODN02,Odo Otin,30025,Osun,OS, ,Owode, , ,Mixed,GRID,Owode,Yes,No,No,No,No,No,Yes,2, ,4.67249016458948,8.01570715356235
53,505e1d17-70f7-42e7-8638-4fe49c090615,122120,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Kumakwagh,BNSWDP02,Kwande,7011,Benue,BE,Weekly,Mbakpa Settlement, , ,Mixed,GRID,Tomohar Market,No,No,No,No,No,No,Yes,1, ,9.35448166739508,7.05419999983019
54,aefa46cd-4cae-4482-9b82-24f98f454b13,122121,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Utange,BNSSEL11,Ushongo,7022,Benue,BE,Weekly,Ihyalev, , ,Food Stuff,GRID,Aga Market Square,No,No,No,No,Yes,No,No,1, ,9.29205500003826,7.04554166711432
55,799130a5-33f8-4ad4-9972-507d31d22d77,122122,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Menev,BNSWDP09,Kwande,7011,Benue,BE,Weekly,Ikpajov, , ,Food Stuff,GRID,Ikpajov Market,No,No,No,No,No,Yes,No,1, ,9.31465330020967,7.027555899785
56,b057f785-e8ad-4027-bfbd-a84d964b1b19,122123,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagwaza,BNSSEL08,Ushongo,7022,Benue,BE,Weekly,Gbinde, , ,Mixed,GRID,Gbinde Market,No,No,No,Yes,No,No,No,1, ,9.25998166672059,7.05772166672159
57,9497dcb2-e4da-4b6a-8e8b-676aad25de8f,122124,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Other,Gbem, , ,Clothing Livestock Electronic Spare Parts Food Stuff Mixed,GRID,Gbem Market,Yes,Yes,Yes,Yes,Yes,No,Yes,6, ,9.14041970010913,6.97108220028338
58,996d2d73-ed01-48a5-8756-34c24e68cccf,122125,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Other,Nigeria, , ,Food Stuff Mixed,GRID,Nigeria Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,9.1267670003968,7.0041132998889
59,04bfcb74-40aa-4e71-819f-0df88d6d3524,122126,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Okpoga Central,BNSPKG08,Okpokwu,7018,Benue,BE,Other,Ollo Centre, , ,Mixed,GRID,Ollo Centre Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,7.83141666704557,7.09016500001479
60,df7635aa-db8f-40db-ab7a-3ab91358fcf9,122127,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Utange,BNSSEL11,Ushongo,7022,Benue,BE,Weekly,Akerior, , ,Clothing Food Stuff,GRID,Akerior Market,No,No,No,Yes,No,No,No,1, ,9.25815919958745,7.01446700035183
61,ef2a1ddb-99f3-4ca4-8b01-400095b4d391,122128,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagwaza,BNSSEL08,Ushongo,7022,Benue,BE,Weekly,Ajima, , ,Mixed,GRID,Ajima Market,No,No,No,No,Yes,No,No,1, ,9.19763500035504,6.9797733330729
62,797d8694-3632-447b-9664-9a2cb495cc61,122129,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagwaza,BNSSEL08,Ushongo,7022,Benue,BE,Weekly,Mbagwaza, , ,Mixed,GRID,Ticha Market,No,No,No,No,No,No,Yes,1, ,9.17905000035728,6.98298833294524
63,9e58c1ed-0fee-466c-9a65-01895b328086,122130,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagwaza,BNSSEL08,Ushongo,7022,Benue,BE,Weekly,Ikpaikpam, , ,Mixed,GRID,Ikpaikpam Market,Yes,No,No,No,No,No,No,1, ,9.1793116670998,7.03276666704812
64,3288228f-c06e-4ee8-af16-401b7dec15ae,122131,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Weekly,Orhyundu, , ,Food Stuff Mixed,GRID,Orhyundu Market,No,No,Yes,No,No,No,No,1, ,9.14444333259377,7.03821500012219
65,3fff763c-da2f-408f-a0f8-8c810792967c,122132,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Weekly,Atekombo Settlement, , ,Mixed,GRID,Atekombo Market,No,No,No,No,Yes,No,No,1, ,9.10203500021515,7.03556999955589
66,4df9095d-4ab4-456d-a618-87bfefb16f8d,122133,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Weekly,Filifi, , ,Food Stuff,GRID,Filifi Market,No,Yes,No,No,No,No,No,1, ,9.09123999972627,7.05665499972849
67,1b528db0-6530-4686-ac0d-337218a22a5b,122134,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbaawe,BNSSEL06,Ushongo,7022,Benue,BE,Other,Gemanam, , ,Food Stuff,GRID,Azungwe Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,8.97142166697643,7.2753716672687
68,7963f79e-7071-4fc7-a6dd-1187c067b3a6,122135,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbaawe,BNSSEL06,Ushongo,7022,Benue,BE,Other,Amelangu, , ,Food Stuff,GRID,Amalangu Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,8.9893516673456,7.27050500040548
69,5e1cd969-0fa3-4d11-9bd4-6ff8a8a3f787,122136,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Amejo,BNSPKG01,Okpokwu,7018,Benue,BE,Other,Ugbokolo, , ,Clothing Livestock Electronic Spare Parts Food Stuff,GRID,Afor Market Ugbokolo,No,Yes,No,No,No,No,No,1, ,7.79072333281562,7.1528833327996
70,582487d4-fc1b-47e9-8892-cc8f1db773c2,122137,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbajor,BNSVDY05,Vandeikya,7023,Benue,BE,Bi-Weekly,Mbakwan, , ,Livestock ElectronicSpare Parts Food Stuff,GRID,Tor Tiv Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,9.11943666686875,6.91111999998805
71,3788c153-a4f2-46ee-b101-f29d99c7f227,122138,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Amejo,BNSPKG01,Okpokwu,7018,Benue,BE,Other,Odessassa Ugbokolo, , ,Food Stuff,GRID,Cassava And Goat Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,7.78512333267571,7.14986833315709
72,05ee0600-05e5-40ae-adc2-de16b7846b67,122139,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Township 2,BNSTKP09,Oturkpo,7019,Benue,BE,Other,Eupi, , ,Other,GRID,Eupi Mini Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,8.12333166682299,7.20790666685923
73,508f1772-69bb-446f-8ae9-686256a635a6,122140,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbaazager,BNSBKB07,Buruku,7004,Benue,BE,Weekly,Ge Mbayem, , ,Mixed,GRID,Ge Mbayem Market,Yes,No,No,No,No,No,No,1, ,9.01856666741782,7.06844666668036
74,20398c93-6009-4379-974e-8d7140ecd498,122141,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Atirkyese,BNSSEL01,Ushongo,7022,Benue,BE,Other,Akoko Mbayem, , ,Food Stuff,GRID,Akoko Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,9.00187833311861,7.04225166738058
75,eaba04c8-bf8b-4c37-9a60-65256c43d735,122142,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbaanyam / Ikov,BNSSEL02,Ushongo,7022,Benue,BE,Weekly,Tarpav Village, , ,Mixed,GRID,Tinenune Market,No,No,No,No,No,No,Yes,1, ,8.99468999984367,7.19246999999058
76,98936847-3874-4634-928b-9df8b276ec2f,122143,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbaazager,BNSBKB07,Buruku,7004,Benue,BE,Other,Market, , ,Mixed,GRID,G e Market,No,Yes,No,No,No,No,No,1, ,9.01847500042101,7.06883500023514
77,f2b633e1-853c-4c18-acb4-efa86baacbef,122144,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Lessel Township,BNSSEL03,Ushongo,7022,Benue,BE,Weekly,Lessel Twonship, , ,Clothing Food Stuff,GRID,Mbashabu Market,No,No,No,Yes,No,No,No,1, ,9.02191333343364,7.12634500022165
78,3b0f992e-de83-4504-a75c-a74fdd4fa4e7,122145,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Township 1,BNSTKP08,Oturkpo,7019,Benue,BE,Other,Olena, , ,Livestock,GRID,Cattle Market,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7, ,8.12083999976625,7.17372499980894
79,5e66c5a8-97ff-43dc-a054-1b7a3c97f048,122146,7/19/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE,Weekly,Mbagwaza, , ,Mixed,GRID,Joghtar Umar Market,No,Yes,No,No,No,No,No,1,HA,9.14665417285187,6.98457761126781
80,ed9e876d-d25a-4026-a4b7-7e1fbafcd657,122147,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Central / South Mission,BNSMKD04,Makurdi,7013,Benue,BE, ,Makurdi Town Railway, , , ,OSGOF,Makurdi Town Railway Market, , , , , , , ,0,BUA,8.53130999975673,7.72688000031184
81,2633c23e-8d46-4d21-a602-d62efc8dc82f,122148,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Ochobo,BNSDKP06,Ohimini,7016,Benue,BE, ,Ochobo III, , , ,OSGOF,Ochobo III Market, , , , , , , ,0,BUA,7.97864999959785,7.17522999996459
82,f9663f5a-3697-4ae3-917c-67efc1b688aa,122149,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Atirkyese,BNSSEL01,Ushongo,7022,Benue,BE, ,Mbakya, , , ,OSGOF,Mbakya Market, , , , , , , ,0,HA,9.02288000031183,7.06189000012347
83,16eef3ea-3acd-4662-8d70-4e0056506fdd,122150,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE, ,Mbatehe, , , ,OSGOF,Mbatehe Market, , , , , , , ,0,HA,9.07891999995809,7.02067000042024
84,0a48edc8-88e9-4583-9a1c-2e98bf500b1d,122151,8/29/2018 12:00:00 AM,racheal.olarewaju, ,Mbagba,BNSSEL07,Ushongo,7022,Benue,BE, ,Mbaiyav, , , ,OSGOF,Mbaiyav Market, , , , , , , ,0,HA,9.0735499996328,7.00165999970926
