FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
3573,38255ad4-5300-4290-9ce1-615d1fe20ffa,117580,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Uda 2,AKSENW04,Mbo,3017,Akwa Ibom,AK, ,Eyo Udung Eyo 2 Unyenge, , , ,OSGOF,Eyo Market Udung Eyo Ii Unyenge, , , , , , , ,0,SSA,8.18532999967977,4.63437000027534
3574,8f79b07d-2674-4666-b752-1dda171f344d,117579,10/30/2018 12:00:00 AM,racheal.olarewaju, ,East Itam 3,AKSTTU07,Itu,3016,Akwa Ibom,AK, ,Ikot Ukap Ikot Ukap, , , ,OSGOF,Ikot Ukap Market Ikot Ukap, , , , , , , ,0,SSA,7.96066999962085,5.15040999972177
3575,89c31146-3679-4330-9ae5-f0e6c631277f,117578,10/30/2018 12:00:00 AM,racheal.olarewaju, ,East Itam 4,AKSTTU09,Itu,3016,Akwa Ibom,AK, ,Ikot Annie Ikot Annie, , , ,OSGOF,Ikot Annie Market Ikot Annie, , , , , , , ,0,SSA,7.98479999992009,5.14071000026632
3576,2cdffbae-2878-4da3-bf72-3dcc5531392c,117253,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Uda 2,AKSENW04,Mbo,3017,Akwa Ibom,AK, ,Esuk Unyenge, , , ,OSGOF,Esuk Unyenge Market, , , , , , , ,0,HA,8.1842399997762,4.60761999966331
3577,1f8ba8b1-ec4a-4d10-90f9-c1a2a7c5c3bd,117252,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Effiat 2,AKSENW07,Mbo,3017,Akwa Ibom,AK, ,Fish Obio Akata, , , ,OSGOF,Fish Market Obio Akata, , , , , , , ,0,HA,8.34251000043622,4.60742999989463
3578,ae339b48-7398-4e2e-8385-82ffee4e47f1,117249,10/30/2018 12:00:00 AM,racheal.olarewaju, ,East Itam 5,AKSTTU03,Itu,3016,Akwa Ibom,AK, ,Urua Mkpeme Mbak Atai, , , ,OSGOF,Urua Mkpeme Mbak Atai, , , , , , , ,0,BUA,7.99559999974025,5.17164999984766
3579,f913356e-16b5-4225-91a9-3682a36bffeb,117248,10/30/2018 12:00:00 AM,racheal.olarewaju, ,East Itam 4,AKSTTU09,Itu,3016,Akwa Ibom,AK, ,Nkim Daily Nkim Itam, , , ,OSGOF,Nkim Daily Market Nkim Itam, , , , , , , ,0,BUA,7.98159000027835,5.15075000011245
3580,7e292a56-5a71-47a0-b24b-596e8fa037cb,117247,10/30/2018 12:00:00 AM,racheal.olarewaju, ,East Itam 3,AKSTTU07,Itu,3016,Akwa Ibom,AK, ,Urua Akpa Ekot Ikot Andem, , , ,OSGOF,Urua Akpa Ekot Ikot Andem, , , , , , , ,0,BUA,7.95364000008601,5.14459999979022
3581,f4214672-077d-4642-96b9-701cf63dd39e,117211,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Obot Akara 1,AKSNTE04,Obot Akara,3022,Akwa Ibom,AK, ,Urua Obo Oduk, , , ,OSGOF,Urua Obo Oduk, , , , , , , ,0,BUA,7.71824000027584,5.27769999985514
3582,deb594f8-122f-4c34-ac99-0cd828439bba,117208,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Nkwot 1,AKSKKN04,Ikono,3012,Akwa Ibom,AK, ,Urua Ikot Abia Nkwot Ikot Abia, , , ,OSGOF,Urua Ikot Abia Nkwot Ikot Abia, , , , , , , ,0,BUA,7.82825000033728,5.2487999999201
